id,objectID,title,designer_names,designers,price,sold_price,sold_price_includes_shipping,sold_shipping_price,price_drops,created_at,sold_at,bumped_at,price_updated_at,size,category,category_path,category_size,condition,color,department,location,traits,styles,badges,cover_photo_url,photo_count,measurement_count,seller_id,seller_username,seller_rating,seller_rating_count,seller_trusted,seller_total_bought_sold,marketplace,strata,buynow,makeoffer,dropped,listing_url,shipping.us.amount,shipping.us.enabled,shipping.ca.amount,shipping.ca.enabled,shipping.uk.amount,shipping.uk.enabled,shipping.eu.amount,shipping.eu.enabled,shipping.asia.amount,shipping.asia.enabled,shipping.au.amount,shipping.au.enabled,shipping.other.amount,shipping.other.enabled
93109019,93109019,Essentials Fear Of God Dark Oatmeal Hoodie,Essentials,"[{'id': 37125, 'name': 'Essentials'}]",28,28,False,25,[],2026-03-01T17:47:08.050Z,2026-03-04T02:36:21.755Z,2026-02-28T17:46:50.783Z,2026-03-01T17:47:08.050Z,xs,tops,tops.sweatshirts_hoodies,tops.xs,is_used,gray,menswear,United States,"[{'name': 'color', 'value': 'gray'}, {'name': 'country_of_origin', 'value': 'VN'}]",['basics'],[],https://media-assets.grailed.com/prd/listing/temp/39e10ec15817446fbe8cb17f908d2425,12,0,15476469,wuh_cru,,0,False,9,grailed,hype,True,True,False,https://grailed.com/listings/93109019,13,True,25,True,25,False,25,False,25,False,25,False,25,True
92930056,92930056,Thrashed System of a Down Faded Distressed ERD GRUNGE WCC,Band Tees,"[{'id': 17603, 'name': 'Band Tees'}]",153,125,False,9,"[190, 171, 153]",2026-02-25T01:38:53.510Z,2026-03-04T02:35:53.407Z,2026-03-04T02:32:59.670Z,2026-03-04T02:32:24.810Z,xl,tops,tops.short_sleeve_shirts,tops.xl,is_used,black,menswear,United States,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'US'}]",['vintage'],[],https://media-assets.grailed.com/prd/listing/temp/a04b2c408aeb448e8d83cf069557920e,7,2,952788,einnimattenneb,4.933333333333334,30,True,424,grailed,basic,True,True,True,https://grailed.com/listings/92930056,9,True,20,True,35,True,35,False,0,False,0,False,0,False
82963929,82963929,Nike flyknit racer multi color size 11,Nike,"[{'id': 30, 'name': 'Nike'}]",80,50,False,10,[],2025-07-30T00:02:02.032Z,2026-03-04T02:35:11.957Z,2025-07-30T00:01:54.449Z,2025-07-30T00:02:02.032Z,11,footwear,footwear.lowtop_sneakers,footwear.11,is_used,multi,menswear,Canada,"[{'name': 'color', 'value': 'multi'}, {'name': 'country_of_origin', 'value': 'VN'}]",['sportswear'],[],https://media-assets.grailed.com/prd/listing/temp/73ce987a6a2941f491fa79ee77be0854,5,0,855482,OkayYouWin,4.934027777777778,96,True,229,grailed,hype,False,True,False,https://grailed.com/listings/82963929,19,True,10,True,0,False,0,False,0,False,0,False,0,False
91702758,91702758,Theory Men's Button Fly Pinstripe Chinos Dark Blue Navy EUC,Theory,"[{'id': 599, 'name': 'Theory'}]",53,45,False,0,[],2026-01-30T12:23:36.975Z,2026-03-04T02:35:06.421Z,2026-02-25T23:04:39.255Z,2026-02-25T23:04:16.912Z,30,bottoms,bottoms.casual_pants,bottoms.30,is_gently_used,blue,menswear,United States,"[{'name': 'color', 'value': 'blue'}, {'name': 'country_of_origin', 'value': 'CN'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/fc8e3bbbd70c4cf9b17d3028880835c0,10,0,15304576,queencityreloved,,0,False,8,grailed,basic,True,True,False,https://grailed.com/listings/91702758,0,True,30,True,30,True,30,True,30,True,30,True,30,True
90235978,90235978,Saint Laurent Paris Wyatt Jodhpur Boots 2015 hedi slimane,Saint Laurent Paris,"[{'id': 1621, 'name': 'Saint Laurent Paris'}]",301,301,False,25,"[335, 301]",2026-01-01T18:53:55.916Z,2026-03-04T02:34:27.047Z,2026-01-21T19:27:41.470Z,2026-01-21T19:27:07.747Z,8.5,footwear,footwear.boots,footwear.8.5,is_gently_used,black,menswear,Other,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'IT'}]",['luxury'],[],https://media-assets.grailed.com/prd/listing/temp/ebd9a2938b024ee4b1756d7cf5e65172,6,0,17583044,slimanebrunoo,5.0,12,True,27,grailed,grailed,True,True,True,https://grailed.com/listings/90235978,25,True,25,True,25,True,25,True,25,True,25,True,25,True
67074583,67074583,Most Unique PPFM Aysmetrical Denim,Hysteric Glamour × Japanese Brand × PPFM,"[{'id': 3442, 'name': 'Hysteric Glamour'}, {'id': 10184, 'name': 'Japanese Brand'}, {'id': 31844, 'name': 'PPFM'}]",120,80,False,25,"[149, 134, 120]",2024-09-08T00:02:16.952Z,2026-03-04T02:34:22.057Z,2024-10-06T00:02:20.656Z,2025-10-16T13:39:03.169Z,35,bottoms,bottoms.denim,bottoms.35,is_used,blue,menswear,Asia,"[{'name': 'color', 'value': 'blue'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/25a0e74564074fac9b0662836f3cfe6b,9,6,1753184,HarajakuSubCulture,4.821989528795812,191,False,488,grailed,grailed,False,True,True,https://grailed.com/listings/67074583,25,True,25,True,25,True,25,True,25,True,25,True,35,True
92683687,92683687,RALPH LAUREN POLO COUNTRY CARPENTER PANTS- NWT 36”x32”,RRL Ralph Lauren,"[{'id': 35833, 'name': 'RRL Ralph Lauren'}]",200,200,False,15,[],2026-02-19T23:44:47.054Z,2026-03-04T02:31:44.067Z,2026-02-28T02:59:10.642Z,2026-02-28T02:58:46.887Z,36,bottoms,bottoms.casual_pants,bottoms.36,is_new,brown,menswear,United States,"[{'name': 'color', 'value': 'brown'}, {'name': 'country_of_origin', 'value': 'VN'}]",['workwear'],[],https://media-assets.grailed.com/prd/listing/temp/c9c7971bfc274a208a2eef466ef86008,12,0,5879350,RUSTY_IRON_HEIRLOOM,5.0,12,True,58,grailed,basic,True,False,False,https://grailed.com/listings/92683687,15,True,25,False,25,False,25,False,25,False,25,False,25,False
69591553,69591553,Guidi x Yohji Yamamoto Leather Shoes,Guidi × Yohji Yamamoto,"[{'id': 18, 'name': 'Guidi'}, {'id': 288, 'name': 'Yohji Yamamoto'}]",3280,2800,False,50,"[5700, 5000, 4500, 4050, 3645, 3280]",2024-10-27T14:59:57.322Z,2026-03-04T02:31:38.317Z,2024-10-26T14:59:41.122Z,2025-04-22T13:19:45.924Z,9,footwear,footwear.boots,footwear.9,is_new,black,menswear,Europe,"[{'name': 'color', 'value': 'black'}]",[],[],https://media-assets.grailed.com/prd/listing/temp/755b612fecd840259e62435171280392,13,0,13537541,bys1mon,5.0,9,True,35,grailed,grailed,False,True,True,https://grailed.com/listings/69591553,50,True,50,True,25,True,15,True,50,True,60,True,25,True
91789351,91789351,1940's French Army M-35 Motorcycle Coat,Vintage,"[{'id': 160, 'name': 'Vintage'}]",72,65,False,25,"[100, 90, 81, 72]",2026-02-01T03:38:05.211Z,2026-03-04T02:31:37.990Z,2026-03-01T23:53:55.629Z,2026-03-01T23:53:27.277Z,m,outerwear,outerwear.heavy_coats,outerwear.m,is_used,green,menswear,Canada,"[{'name': 'color', 'value': 'green'}, {'name': 'country_of_origin', 'value': 'FR'}]",['vintage'],[],https://media-assets.grailed.com/prd/listing/temp/7c77b9338f12428597428a6a57ac1f44,2,3,15894229,sam_h00,5.0,3,False,14,grailed,basic,True,True,True,https://grailed.com/listings/91789351,24,True,25,True,55,True,55,True,55,True,55,True,25,False
85338657,85338657,Asics GT 2160 French Blue,Asics,"[{'id': 216, 'name': 'Asics'}]",34,34,False,16,"[85, 76, 68, 61, 54, 48, 38, 34]",2025-09-20T19:38:14.858Z,2026-03-04T02:31:33.465Z,2025-09-20T19:38:09.053Z,2026-02-23T15:15:02.240Z,8.5,footwear,footwear.lowtop_sneakers,footwear.8.5,is_gently_used,white,menswear,United States,"[{'name': 'color', 'value': 'white'}, {'name': 'country_of_origin', 'value': 'CN'}]",['sportswear'],[],https://media-assets.grailed.com/prd/listing/temp/19f0bc64a1bb41ef9eb504624a0c103f,6,0,302767,starhouse,4.559602649006623,151,False,217,grailed,hype,True,True,True,https://grailed.com/listings/85338657,16,True,50,True,50,True,50,True,50,True,50,True,50,True
93188235,93188235,RHUDE Dolce Vita Swim Shorts - Large - Like New,Rhude,"[{'id': 1442, 'name': 'Rhude'}]",110,110,False,18,[],2026-03-02T11:59:52.687Z,2026-03-04T02:30:05.998Z,2026-03-02T11:59:39.715Z,2026-03-02T11:59:52.687Z,34,bottoms,bottoms.swimwear,bottoms.34,is_gently_used,white,menswear,United States,"[{'name': 'color', 'value': 'white'}, {'name': 'country_of_origin', 'value': 'US'}]",['streetwear'],[],https://media-assets.grailed.com/prd/listing/temp/c5b22080d0924994b63061050f36c8f2,5,0,93543,investingwisely,4.871794871794871,39,True,82,grailed,hype,True,True,False,https://grailed.com/listings/93188235,18,True,75,False,0,False,0,False,0,False,0,False,0,False
92935013,92935013,Killtec Make America Rich Again,Other,"[{'id': 31752, 'name': 'Other'}]",225,225,False,15,"[250, 225]",2026-02-25T04:32:30.861Z,2026-03-04T02:28:37.350Z,2026-02-25T04:26:25.508Z,2026-03-03T18:59:39.430Z,l,outerwear,outerwear.light_jackets,outerwear.l,is_new,white,menswear,United States,"[{'name': 'color', 'value': 'white'}, {'name': 'country_of_origin', 'value': 'US'}]",['luxury'],[],https://media-assets.grailed.com/prd/listing/temp/d1ef6bbc6fcd44ac98d88ba6042e24dc,7,4,18455147,_pgriff,,0,False,1,grailed,basic,True,True,True,https://grailed.com/listings/92935013,15,True,50,True,50,True,50,True,50,True,50,True,50,True
93223625,93223625,Season 5 shorts XS,Yeezy,"[{'id': 37782, 'name': 'Yeezy'}]",120,120,False,9,[],2026-03-03T01:25:48.411Z,2026-03-04T02:28:13.744Z,2026-03-03T01:25:37.373Z,2026-03-03T01:25:48.411Z,30,bottoms,bottoms.shorts,bottoms.30,is_gently_used,black,menswear,United States,"[{'name': 'color', 'value': 'black'}, {'name': 'country_of_origin', 'value': 'US'}]",['luxury'],[],https://media-assets.grailed.com/prd/listing/temp/0332809e3a134f138a24d7f8fc2c5ee5,8,0,1292555,Kevinfinnegan,4.628571428571429,35,False,106,grailed,hype,True,True,False,https://grailed.com/listings/93223625,9,True,20,True,20,True,40,True,20,True,20,True,20,True
